Литовское слово,Английский,Русский
"birželis, -io",June,июнь
"brangus, -i",expensive,дорогой
butas,flat,квартира
čiaupas,tap,кран
daiktai,items,вещи
dailė,art,искусство
"dainininkas, -ė",singer,"певец, певица"
"dainuoti, dainuoja, dainavo",sing,петь
"dantis, -ies",tooth,зуб
darbas,"work, job",работа
darbovietė,workplace,место работы
"darbuotojas, -a",employee,работник
degalai,fuel,топливо
degalinė,petrol station,заправка
dėmė,stain,пятно
"dėstytojas, -a","lecturer, university teacher",преподаватель
dešinėje,on the right,справа
"dėvėti, dėvi, dėvėjo ką? / kuo?",wear,носить
"dydis, -io",size,размер
diržas,belt,ремень
dovana,"gift, present",подарок
"dovanoti, dovanoja, dovanojo ką?, ko?",give (as a present),дарить
drabužiai,clothes,одежда
draudžiama,prohibited,запрещено
dujos,gas,газ
dulkės,dust,пыль
"durys, -ų",door,дверь
dušas,shower,душ
"dviratis, -io",bicycle,велосипед
džiaugsmas,joy,радость
džiovyklė,dryer machine,сушилка
eglė,Christmas tree,ель
eglutė,"
Christmas tree",ёлочка
eilė,row,ряд
ežeras,lake,озеро
"fotelis, -io",armchair,кресло
galima,allowed,разрешено
galva,head,голова
"gauti, gauna, gavo ką?, ko?","get, receive",получать
gegužė,May,май
gėlė,flower,цветок
"gerbiamas, -a",honourable,уважаемый
gerklė,throat,горло
"gydytojas, -a","doctor, physician",врач
"gimtadienis, -io",birthday,день рождения
glaudės,swimming trunks,плавки
grandinėlė,chain,цепочка
grąžinimas,"drop-off, return",возврат
"grąžinti, grąžina, grąžino ką?",return,возвращать
greitai,fast,быстро
"greitas, -a",fast,быстрый
"greitis, -io",speed,скорость
"grybauti, grybauja, grybavo",pick mushrooms,собирать грибы
"grindys, -ų",floor,пол
"grįžti, grįžta, grįžo","return, come back",возвращаться
"groti, groja, grojo",play (about music),играть (о музыке)
"gruodis, -io",December,декабрь
"gulėti, guli, gulėjo",lie,лежать
į dešinę,to the right,направо
į kairę,to the left,налево
"ieškoti, ieško, ieškojo ko?",look for,искать
"įjungti, įjungia, įjungė ką?",switch on,включать
iki,until,до
"ilgas, -a",long,длинный
"įlipti, įlipa, įlipo į ką?",get on to / in,садиться (в транспорт)
indai,dishes,посуда
indaplovė,dishwasher,посудомоечная машина
"įsiūti, įsiuva, įsiuvo ką?",sew on / in,пришивать
"išjungti, išjungia, išjungė ką?",switch off,выключать
"išlipti, išlipa, išlipo iš ko?",get off,выходить (из транспорта)
"išnešti, išneša, išnešė ką?","carry out, take out",выносить
išpardavimas,sale,распродажа
"išplauti, išplauna, išplovė ką?",wash up,вымыть
"išsikviesti, išsikviečia, išsikvietė ką?",call,вызывать
"išsinuomoti, išsinuomoja, išsinuomojo ką?",rent (smth from),арендовать
"išsiurbti, išsiurbia, išsiurbė ką?",vacuum,пылесосить
"išsiųsti, išsiunčia, išsiuntė ką?",send,отправлять
išskyrus ką?,except for,кроме
"išspausdinti, išspausdina, išspausdino ką?",print out,распечатать
"išvalyti, išvalo, išvalė ką?",clean up,очистить
"išvažiuoti, išvažiuoja, išvažiavo",leave,уезжать
"jaukus, -i",cosy,уютный
"jaustis, jaučiasi, jautėsi",feel,чувствовать себя
jūra,sea,море
kabinetas,"room, consulting room",кабинет
kaimas,"village, countryside","деревня, сельская местность"
"kaimynas, -ė",neighbour,сосед
"kainuoti, kainuoja, kainavo",cost,стоить
kaip,how,как
kairėje,on the left,слева
kalba,language,язык
Kalėdos,Christmas,Рождество
kalnai,mountains,горы
kambarys,room,комната
"karščiuoti, karščiuoja, karščiavo","have a fever, have a temperature",температурить
kėdė,chair,стул
kelias,track,дорога
"keliauti, keliauja, keliavo",travel,путешествовать
kelionė,"travel, trip, journey","путешествие, поездка"
kelnės,trousers,брюки
kepurė,"hat, cap","шапка, кепка"
kiemas,"yard, courtyard",двор
kilimas,"rug, carpet",ковёр
"kirpėjas, -a",hairdresser,парикмахер
kišenė,pocket,карман
"kitas, -a",next,следующий
klausimas,question,вопрос
"klausyti, klauso, klausė ko?",listen,слушать
knyga,book,книга
koja,leg,нога
kojinės,socks,носки
kolonėlė,fuel dispenser,топливная колонка
koridorius,corridor,коридор
"kosėti, kosėja, kosėjo",cough,кашлять
kosulys,cough,кашель
kovas,March,март
kraujas,blood,кровь
"kraujospūdis, -io",blood pressure,давление
Kūčios,Christmas Eve,Сочельник
kūnas,body,тело
kuprinė,backpack,рюкзак
kuras,fuel,топливо
kursas,year of studies,курс (год обучения)
"kviesti, kviečia, kvietė ką?",invite,приглашать
kvitas,receipt,квитанция
labai,very much,очень
labiau,more,больше
"laikrodis, -io","clock, watch",часы
laimė,happiness,счастье
"laimingas, -a",happy,счастливый
laiptai,staircase,лестница
laiptinė,"stairway, landing",лестничная площадка
"laisvalaikis, -io",leisure,досуг
"laisvas, -a",available,свободный
langas,window,окно
"lapkritis, -io",November,ноябрь
lašai,drops,капли
lentyna,shelf,полка
"lėtas, -a",slow,медленный
liemenė,waist coat,жилет
liepa,July,июль
liga,"illness, disease",болезнь
lygintuvas,iron,утюг
ligoninė,hospital,больница
"ligonis, -ė",patient,пациент
"linkėti, linki, linkėjo ko?",wish,желать
"lipti, lipa, lipo",get on,подниматься
lova,bed,кровать
"lubos, -ų",ceiling,потолок
